Airbnb Listing ID,price,latitude,longitude,Meters from chosen location,Location,cluster,centroids,price_currency,size,color,segment
33986112,2426.840087890625,52.3726692199707,4.902860164642334,1019.0,Airbnb listing,1,0,MX 2426.84,5.0,#024c6f,Mid-range
34008856,2103.260009765625,52.359619140625,4.936100006103516,3055.0,Airbnb listing,1,0,MX 2103.26,5.0,#024c6f,Mid-range
34011932,6633.35009765625,52.380268096923835,4.849430084228516,3314.0,Airbnb listing,0,0,MX 6633.35,6.0,#061b2c,Budget
34012456,3134.659912109375,52.3765983581543,4.870490074157715,1889.0,Airbnb listing,1,0,MX 3134.66,5.0,#024c6f,Mid-range
34032784,3700.919921875,52.36188888549805,4.8645501136779785,1947.0,Airbnb listing,0,0,MX 3700.92,5.0,#061b2c,Budget
34050696,3033.5400390625,52.355499267578125,4.925859928131104,2561.0,Airbnb listing,1,0,MX 3033.54,5.0,#024c6f,Mid-range
34053072,1820.1300048828125,52.370697021484375,4.941571235656737,3378.0,Airbnb listing,1,0,MX 1820.13,5.0,#024c6f,Mid-range
34070600,9100.6396484375,52.392051696777344,4.926439762115479,3696.0,Airbnb listing,3,0,MX 9100.64,6.0,#3abdf3,Elite
34087776,3842.489990234375,52.34542846679688,4.864980220794678,2959.0,Airbnb listing,0,0,MX 3842.49,5.0,#061b2c,Budget
34099664,1112.300048828125,52.391849517822266,4.870269775390625,3232.0,Airbnb listing,1,0,MX 1112.3,5.0,#024c6f,Mid-range
34108976,4610.990234375,52.36188888549805,4.8645501136779785,1947.0,Airbnb listing,0,0,MX 4610.99,5.0,#061b2c,Budget
34110512,6673.7998046875,52.39173126220703,4.885499954223633,2887.0,Airbnb listing,3,0,MX 6673.8,6.0,#3abdf3,Elite
34137576,2426.840087890625,52.39265823364258,4.870500087738037,3305.0,Airbnb listing,1,0,MX 2426.84,5.0,#024c6f,Mid-range
34146516,4044.7299804687505,52.358848571777344,4.906579971313477,1257.0,Airbnb listing,0,0,MX 4044.73,5.0,#061b2c,Budget
34174820,1981.9200439453125,52.357959747314446,4.9360899925231925,3103.0,Airbnb listing,1,0,MX 1981.92,5.0,#024c6f,Mid-range
34188856,2527.949951171875,52.354591369628906,4.89558982849121,1299.0,Airbnb listing,1,0,MX 2527.95,5.0,#024c6f,Mid-range
